,Feature,Layer,r,p-value
0,expanse,1,0.0987961703654181,0.0
1,expanse,2,0.12947589502490822,0.0
2,expanse,3,0.1586493142725396,0.0
3,expanse,4,0.17793832278491145,0.0
4,expanse,5,0.19778255182136115,0.0
5,communication,1,-0.0009562884789474663,0.8927
6,communication,2,-0.004816102254184725,0.4969
7,communication,3,0.0016201855180593223,0.8192
8,communication,4,0.00856586191032172,0.2269
9,communication,5,0.019725504131826974,0.0054
10,transitivity,1,0.009978588924898295,0.1592
11,transitivity,2,0.018988105452031105,0.0074
12,transitivity,3,0.003474039625063812,0.6241
13,transitivity,4,0.011611885622382799,0.1014
14,transitivity,5,0.014264706577324985,0.0442
15,agent distance,1,0.04932588674076089,0.0
16,agent distance,2,0.07409170786900741,0.0
17,agent distance,3,0.07930736412511269,0.0
18,agent distance,4,0.09091384858350984,0.0
19,agent distance,5,0.1120502924545179,0.0
20,facingness,1,0.0159931531275143,0.0241
21,facingness,2,0.023441146354174845,0.0009
22,facingness,3,0.015927741250794786,0.0246
23,facingness,4,0.032016942189878,0.0
24,facingness,5,0.033892547936527226,0.0
25,joint action,1,0.00881540527170033,0.2137
26,joint action,2,0.00752475619193925,0.2885
27,joint action,3,0.0026867795562966882,0.7047
28,joint action,4,-0.0031339721859020273,0.6584
29,joint action,5,0.0014952093849596134,0.833
30,cooperation,1,-0.005408181419843969,0.4455
31,cooperation,2,-0.0030007109740617295,0.6721
32,cooperation,3,-0.00016062524281272646,0.9819
33,cooperation,4,-0.0016039473813289657,0.821
34,cooperation,5,-0.005202787343344536,0.463
35,dominance,1,0.02256696033561026,0.0015
36,dominance,2,0.02810513796349895,0.0001
37,dominance,3,0.022324289653169373,0.0016
38,dominance,4,0.03668227468649981,0.0
39,dominance,5,0.03491922992566391,0.0
40,intimacy,1,0.050356881848750965,0.0
41,intimacy,2,0.06456977229627349,0.0
42,intimacy,3,0.06194624421095253,0.0
43,intimacy,4,0.0679788718342555,0.0
44,intimacy,5,0.08525931344538697,0.0
45,valence,1,0.0060777045682551,0.3913
46,valence,2,0.003955668404583644,0.5769
47,valence,3,0.004965907736327081,0.4836
48,valence,4,0.008219804294282176,0.2463
49,valence,5,0.012684452596838603,0.0736
50,arousal,1,0.015973262675299988,0.0242
51,arousal,2,0.002181061134065414,0.7583
52,arousal,3,0.0038386319011007616,0.5882
53,arousal,4,0.004450853924386579,0.5301
54,arousal,5,0.008739407018683172,0.2177
